Transaction_ID,Lead_ID,Account_ID,Product_ID,Close_Date,Qty,Unit_Price,Total_Amount,Lead_Source,Created_Date,Status,Lead_Score,Company_Name,Market,Country,Industry,Account_Tier,Product_Name,Category,Unit_Cost,Total_Cost,Gross_Profit,Profit_Margin_%,Month
T011,L017,ACC22,P007,2024-04-10,19000,747.0,14193000.0,LinkedIn,2024-04-02,Converted,81,Power Grid Corporation of India,International,USA,Pharma,Enterprise,SuperExMB50,Mixed Bed,350.0,6650000.0,7543000.0,53.14591700133868,2024-04
T012,L018,ACC21,P004,2024-04-24,18000,573.5,10323000.0,Website,2024-04-05,Converted,84,BHEL (Bharat Heavy Electricals Limited),Domestic,India,Petrochemical,Enterprise,EDMAXM,Mixed Bed,270.0,4860000.0,5463000.0,52.92066259808196,2024-04
T013,L020,ACC02,P006,2024-05-10,2500,630.0,1575000.0,Referral,2024-04-12,Converted,87,Pfizer Inc.,International,USA,Pharma,Enterprise,SuperExA14OH,Anion,350.0,875000.0,700000.0,44.44444444444444,2024-05
T014,L021,ACC37,P001,2024-03-26,7000,465.0,3255000.0,LinkedIn,2024-02-27,Converted,16,Aurobindo Pharma,Domestic,India,Pharma,Mid-Market,SuperExC18H,Cation,200.0,1400000.0,1855000.0,56.98924731182796,2024-03
T015,L023,ACC17,P005,2024-11-25,11000,870.0,9570000.0,Website,2024-11-08,Converted,74,Cipla Ltd,Domestic,India,Pharma,Mid-Market,SuperExA14Cl,Anion,500.0,5500000.0,4070000.0,42.5287356321839,2024-11
T016,L025,ACC22,P008,2024-10-09,24000,850.0,20400000.0,Outbound,2024-09-20,Converted,70,Power Grid Corporation of India,International,USA,Pharma,Enterprise,SuperExMB60,Mixed Bed,400.0,9600000.0,10800000.0,52.94117647058824,2024-10
T017,L026,ACC44,P010,2024-07-06,18500,526.5,9740250.0,Website,2024-06-23,Converted,40,Hindalco Industries,International,India,Agriculture,Enterprise,SuperMENitrex,Media,290.0,5365000.0,4375250.0,44.91927825261159,2024-07
T018,L028,ACC01,P001,2024-12-21,16500,465.0,7672500.0,LinkedIn,2024-11-23,Converted,40,Reliance Industries,Domestic,India,Petrochemical,Enterprise,SuperExC18H,Cation,200.0,3300000.0,4372500.0,56.98924731182796,2024-12
T019,L030,ACC29,P002,2024-11-21,19000,560.0,10640000.0,Website,2024-10-28,Converted,36,ONGC,Domestic,India,Mining,Mid-Market,SuperExC18Na,Cation,250.0,4750000.0,5890000.0,55.35714285714286,2024-11
T020,L031,ACC29,P006,2024-08-26,11500,630.0,7245000.0,Outbound,2024-07-27,Converted,81,ONGC,Domestic,India,Mining,Mid-Market,SuperExA14OH,Anion,350.0,4025000.0,3220000.0,44.44444444444444,2024-08
T021,L033,ACC20,P003,2024-03-13,14500,612.5,8881250.0,Website,2024-03-03,Converted,14,Sinopec Group,International,China,Oil & Gas,Enterprise,EDMAXG,Mixed Bed,250.0,3625000.0,5256250.0,59.183673469387756,2024-03
T022,L034,ACC03,P005,2024-10-22,4000,870.0,3480000.0,Indiamart,2024-09-26,Converted,83,Tata Power,Domestic,India,Energy,Mid-Market,SuperExA14Cl,Anion,500.0,2000000.0,1480000.0,42.5287356321839,2024-10
T023,L036,ACC37,P008,2024-09-08,6500,850.0,5525000.0,Outbound,2024-08-24,Converted,67,Aurobindo Pharma,Domestic,India,Pharma,Mid-Market,SuperExMB60,Mixed Bed,400.0,2600000.0,2925000.0,52.94117647058824,2024-09
T024,L037,ACC09,P007,2024-07-29,9000,747.0,6723000.0,LinkedIn,2024-07-07,Converted,66,Vedanta Ltd,Domestic,India,Mining,Mid-Market,SuperExMB50,Mixed Bed,350.0,3150000.0,3573000.0,53.14591700133868,2024-07
T025,L039,ACC35,P002,2024-12-25,23500,560.0,13160000.0,Indiamart,2024-12-09,Converted,25,Lanxess India,Domestic,India,Manufacturing,Enterprise,SuperExC18Na,Cation,250.0,5875000.0,7285000.0,55.35714285714286,2024-12
T026,L040,ACC33,P006,2024-07-25,23500,630.0,14805000.0,Referral,2024-06-29,Converted,94,Atul Ltd,Domestic,India,Energy,Enterprise,SuperExA14OH,Anion,350.0,8225000.0,6580000.0,44.44444444444444,2024-07
T027,L041,ACC18,P001,2024-01-20,3000,465.0,1395000.0,LinkedIn,2024-01-04,Converted,97,Roche Holding,International,Switzerland,Pharma,Enterprise,SuperExC18H,Cation,200.0,600000.0,795000.0,56.98924731182796,2024-01
T028,L043,ACC38,P005,2024-03-18,8500,870.0,7395000.0,Website,2024-03-04,Converted,97,Biocon,International,Switzerland,Pharma,Enterprise,SuperExA14Cl,Anion,500.0,4250000.0,3145000.0,42.5287356321839,2024-03
T029,L045,ACC47,P008,2024-08-22,5500,850.0,4675000.0,Outbound,2024-07-23,Converted,99,Britannia Industries,Domestic,USA,Infrastructure,Enterprise,SuperExMB60,Mixed Bed,400.0,2200000.0,2475000.0,52.94117647058824,2024-08
T030,L046,ACC32,P010,2024-07-01,13500,526.5,7107750.0,Website,2024-06-25,Converted,68,Aarti Industries,International,USA,Chemicals,Enterprise,SuperMENitrex,Media,290.0,3915000.0,3192750.0,44.91927825261159,2024-07
T031,L001,ACC47,P001,2024-08-10,5000,465.0,2325000.0,LinkedIn,2024-01-10,Converted,85,Britannia Industries,Domestic,USA,Infrastructure,Enterprise,SuperExC18H,Cation,200.0,1000000.0,1325000.0,56.98924731182796,2024-08
T032,L002,ACC48,P003,2024-04-08,12000,612.5,7350000.0,Indiamart,2024-01-12,Converted,90,Diageo India,International,India,Pharma,Mid-Market,EDMAXG,Mixed Bed,250.0,3000000.0,4350000.0,59.183673469387756,2024-04
T033,L004,ACC12,P002,2024-09-18,3500,560.0,1960000.0,Referral,2024-01-20,Converted,75,Dow Chemical,International,USA,Chemicals,Enterprise,SuperExC18Na,Cation,250.0,875000.0,1085000.0,55.35714285714286,2024-09
T034,L006,ACC07,P010,2024-03-29,16000,526.5,8424000.0,Website,2024-02-05,Converted,88,Adani Group,Domestic,India,Infrastructure,Enterprise,SuperMENitrex,Media,290.0,4640000.0,3784000.0,44.91927825261159,2024-03
T035,L007,ACC36,P007,2024-07-29,16000,747.0,11952000.0,Indiamart,2024-02-10,Converted,92,Lupin Limited,International,USA,Oil & Gas,Enterprise,SuperExMB50,Mixed Bed,350.0,5600000.0,6352000.0,53.14591700133868,2024-07
T036,L009,ACC11,P004,2024-05-24,13500,573.5,7742250.0,Referral,2024-02-18,Converted,80,Dr. Reddy's,Domestic,India,Pharma,Enterprise,EDMAXM,Mixed Bed,270.0,3645000.0,4097250.0,52.92066259808196,2024-05
T037,L011,ACC46,P006,2024-03-01,23500,630.0,14805000.0,Outbound,2024-03-01,Converted,82,ITC Limited,International,India,Oil & Gas,Enterprise,SuperExA14OH,Anion,350.0,8225000.0,6580000.0,44.44444444444444,2024-03
T038,L012,ACC21,P009,2024-05-29,16500,494.0,8151000.0,LinkedIn,2024-03-05,Converted,89,BHEL (Bharat Heavy Electricals Limited),Domestic,India,Petrochemical,Enterprise,SuperMEIRM,Media,280.0,4620000.0,3531000.0,43.31983805668016,2024-05
T039,L014,ACC43,P005,2024-08-28,16000,870.0,13920000.0,Indiamart,2024-03-15,Converted,77,Jindal Stainless,Domestic,USA,Energy,Mid-Market,SuperExA14Cl,Anion,500.0,8000000.0,5920000.0,42.5287356321839,2024-08
T040,L015,ACC36,P001,2024-04-02,13500,465.0,6277500.0,Referral,2024-03-20,Converted,95,Lupin Limited,International,USA,Oil & Gas,Enterprise,SuperExC18H,Cation,200.0,2700000.0,3577500.0,56.98924731182796,2024-04
T041,L017,ACC22,P007,2024-06-01,6500,747.0,4855500.0,LinkedIn,2024-04-02,Converted,81,Power Grid Corporation of India,International,USA,Pharma,Enterprise,SuperExMB50,Mixed Bed,350.0,2275000.0,2580500.0,53.14591700133868,2024-06
T042,L018,ACC21,P004,2024-01-17,7500,573.5,4301250.0,Website,2024-04-05,Converted,84,BHEL (Bharat Heavy Electricals Limited),Domestic,India,Petrochemical,Enterprise,EDMAXM,Mixed Bed,270.0,2025000.0,2276250.0,52.92066259808196,2024-01
T043,L020,ACC02,P006,2024-01-08,22500,630.0,14175000.0,Referral,2024-04-12,Converted,87,Pfizer Inc.,International,USA,Pharma,Enterprise,SuperExA14OH,Anion,350.0,7875000.0,6300000.0,44.44444444444444,2024-01
T044,L021,ACC37,P001,2024-09-27,24500,465.0,11392500.0,LinkedIn,2024-02-27,Converted,16,Aurobindo Pharma,Domestic,India,Pharma,Mid-Market,SuperExC18H,Cation,200.0,4900000.0,6492500.0,56.98924731182796,2024-09
T045,L023,ACC17,P005,2024-08-15,21000,870.0,18270000.0,Website,2024-11-08,Converted,74,Cipla Ltd,Domestic,India,Pharma,Mid-Market,SuperExA14Cl,Anion,500.0,10500000.0,7770000.0,42.5287356321839,2024-08
T046,L025,ACC22,P008,2024-02-18,11500,850.0,9775000.0,Outbound,2024-09-20,Converted,70,Power Grid Corporation of India,International,USA,Pharma,Enterprise,SuperExMB60,Mixed Bed,400.0,4600000.0,5175000.0,52.94117647058824,2024-02
T047,L026,ACC44,P010,2024-04-24,13000,526.5,6844500.0,Website,2024-06-23,Converted,40,Hindalco Industries,International,India,Agriculture,Enterprise,SuperMENitrex,Media,290.0,3770000.0,3074500.0,44.91927825261159,2024-04
T048,L028,ACC01,P001,2024-09-26,6000,465.0,2790000.0,LinkedIn,2024-11-23,Converted,40,Reliance Industries,Domestic,India,Petrochemical,Enterprise,SuperExC18H,Cation,200.0,1200000.0,1590000.0,56.98924731182796,2024-09
T049,L030,ACC29,P002,2024-02-06,5500,560.0,3080000.0,Website,2024-10-28,Converted,36,ONGC,Domestic,India,Mining,Mid-Market,SuperExC18Na,Cation,250.0,1375000.0,1705000.0,55.35714285714286,2024-02
T050,L031,ACC29,P006,2024-03-27,11500,630.0,7245000.0,Outbound,2024-07-27,Converted,81,ONGC,Domestic,India,Mining,Mid-Market,SuperExA14OH,Anion,350.0,4025000.0,3220000.0,44.44444444444444,2024-03
T051,L033,ACC20,P003,2024-03-23,14500,612.5,8881250.0,Website,2024-03-03,Converted,14,Sinopec Group,International,China,Oil & Gas,Enterprise,EDMAXG,Mixed Bed,250.0,3625000.0,5256250.0,59.183673469387756,2024-03
T052,L034,ACC03,P005,2024-12-17,15500,870.0,13485000.0,Indiamart,2024-09-26,Converted,83,Tata Power,Domestic,India,Energy,Mid-Market,SuperExA14Cl,Anion,500.0,7750000.0,5735000.0,42.5287356321839,2024-12
T053,L036,ACC37,P008,2024-12-03,19000,850.0,16150000.0,Outbound,2024-08-24,Converted,67,Aurobindo Pharma,Domestic,India,Pharma,Mid-Market,SuperExMB60,Mixed Bed,400.0,7600000.0,8550000.0,52.94117647058824,2024-12
T054,L037,ACC09,P007,2024-07-17,17000,747.0,12699000.0,LinkedIn,2024-07-07,Converted,66,Vedanta Ltd,Domestic,India,Mining,Mid-Market,SuperExMB50,Mixed Bed,350.0,5950000.0,6749000.0,53.14591700133868,2024-07
T055,L039,ACC35,P002,2024-02-03,10500,560.0,5880000.0,Indiamart,2024-12-09,Converted,25,Lanxess India,Domestic,India,Manufacturing,Enterprise,SuperExC18Na,Cation,250.0,2625000.0,3255000.0,55.35714285714286,2024-02
T056,L040,ACC33,P006,2024-04-19,24000,630.0,15120000.0,Referral,2024-06-29,Converted,94,Atul Ltd,Domestic,India,Energy,Enterprise,SuperExA14OH,Anion,350.0,8400000.0,6720000.0,44.44444444444444,2024-04
T057,L041,ACC18,P001,2024-02-29,4000,465.0,1860000.0,LinkedIn,2024-01-04,Converted,97,Roche Holding,International,Switzerland,Pharma,Enterprise,SuperExC18H,Cation,200.0,800000.0,1060000.0,56.98924731182796,2024-02
T058,L043,ACC38,P005,2024-05-03,9000,870.0,7830000.0,Website,2024-03-04,Converted,97,Biocon,International,Switzerland,Pharma,Enterprise,SuperExA14Cl,Anion,500.0,4500000.0,3330000.0,42.5287356321839,2024-05
T059,L045,ACC47,P008,2024-01-05,22000,850.0,18700000.0,Outbound,2024-07-23,Converted,99,Britannia Industries,Domestic,USA,Infrastructure,Enterprise,SuperExMB60,Mixed Bed,400.0,8800000.0,9900000.0,52.94117647058824,2024-01
T060,L046,ACC32,P010,2024-04-08,23000,526.5,12109500.0,Website,2024-06-25,Converted,68,Aarti Industries,International,USA,Chemicals,Enterprise,SuperMENitrex,Media,290.0,6670000.0,5439500.0,44.91927825261159,2024-04
T061,L018,ACC47,P008,2024-11-21,18000,850.0,15300000.0,Website,2024-04-05,Converted,84,Britannia Industries,Domestic,USA,Infrastructure,Enterprise,SuperExMB60,Mixed Bed,400.0,7200000.0,8100000.0,52.94117647058824,2024-11
T062,L020,ACC48,P010,2024-01-17,24000,526.5,12636000.0,Referral,2024-04-12,Converted,87,Diageo India,International,India,Pharma,Mid-Market,SuperMENitrex,Media,290.0,6960000.0,5676000.0,44.91927825261159,2024-01
T063,L021,ACC12,P001,2024-02-13,14000,465.0,6510000.0,LinkedIn,2024-02-27,Converted,16,Dow Chemical,International,USA,Chemicals,Enterprise,SuperExC18H,Cation,200.0,2800000.0,3710000.0,56.98924731182796,2024-02
T064,L023,ACC07,P002,2024-12-06,17500,560.0,9800000.0,Website,2024-11-08,Converted,74,Adani Group,Domestic,India,Infrastructure,Enterprise,SuperExC18Na,Cation,250.0,4375000.0,5425000.0,55.35714285714286,2024-12
T065,L025,ACC36,P006,2024-06-16,3000,630.0,1890000.0,Outbound,2024-09-20,Converted,70,Lupin Limited,International,USA,Oil & Gas,Enterprise,SuperExA14OH,Anion,350.0,1050000.0,840000.0,44.44444444444444,2024-06
T066,L026,ACC11,P003,2024-08-18,5500,612.5,3368750.0,Website,2024-06-23,Converted,40,Dr. Reddy's,Domestic,India,Pharma,Enterprise,EDMAXG,Mixed Bed,250.0,1375000.0,1993750.0,59.183673469387756,2024-08
T067,L028,ACC46,P005,2024-07-20,3000,870.0,2610000.0,LinkedIn,2024-11-23,Converted,40,ITC Limited,International,India,Oil & Gas,Enterprise,SuperExA14Cl,Anion,500.0,1500000.0,1110000.0,42.5287356321839,2024-07
T068,L030,ACC21,P008,2024-01-08,14000,850.0,11900000.0,Website,2024-10-28,Converted,36,BHEL (Bharat Heavy Electricals Limited),Domestic,India,Petrochemical,Enterprise,SuperExMB60,Mixed Bed,400.0,5600000.0,6300000.0,52.94117647058824,2024-01
T069,L031,ACC43,P007,2024-12-20,15500,747.0,11578500.0,Outbound,2024-07-27,Converted,81,Jindal Stainless,Domestic,USA,Energy,Mid-Market,SuperExMB50,Mixed Bed,350.0,5425000.0,6153500.0,53.14591700133868,2024-12
T070,L033,ACC36,P002,2024-10-09,4500,560.0,2520000.0,Website,2024-03-03,Converted,14,Lupin Limited,International,USA,Oil & Gas,Enterprise,SuperExC18Na,Cation,250.0,1125000.0,1395000.0,55.35714285714286,2024-10
T071,L034,ACC22,P006,2024-09-29,12000,630.0,7560000.0,Indiamart,2024-09-26,Converted,83,Power Grid Corporation of India,International,USA,Pharma,Enterprise,SuperExA14OH,Anion,350.0,4200000.0,3360000.0,44.44444444444444,2024-09
T072,L036,ACC21,P001,2024-05-18,4000,465.0,1860000.0,Outbound,2024-08-24,Converted,67,BHEL (Bharat Heavy Electricals Limited),Domestic,India,Petrochemical,Enterprise,SuperExC18H,Cation,200.0,800000.0,1060000.0,56.98924731182796,2024-05
T073,L037,ACC02,P005,2024-10-18,15500,870.0,13485000.0,LinkedIn,2024-07-07,Converted,66,Pfizer Inc.,International,USA,Pharma,Enterprise,SuperExA14Cl,Anion,500.0,7750000.0,5735000.0,42.5287356321839,2024-10
T074,L039,ACC37,P008,2024-11-06,18500,850.0,15725000.0,Indiamart,2024-12-09,Converted,25,Aurobindo Pharma,Domestic,India,Pharma,Mid-Market,SuperExMB60,Mixed Bed,400.0,7400000.0,8325000.0,52.94117647058824,2024-11
T075,L040,ACC17,P010,2024-05-30,17500,526.5,9213750.0,Referral,2024-06-29,Converted,94,Cipla Ltd,Domestic,India,Pharma,Mid-Market,SuperMENitrex,Media,290.0,5075000.0,4138750.0,44.91927825261159,2024-05
T076,L041,ACC22,P001,2024-09-23,9000,465.0,4185000.0,LinkedIn,2024-01-04,Converted,97,Power Grid Corporation of India,International,USA,Pharma,Enterprise,SuperExC18H,Cation,200.0,1800000.0,2385000.0,56.98924731182796,2024-09
T077,L043,ACC44,P003,2024-08-24,18500,612.5,11331250.0,Website,2024-03-04,Converted,97,Hindalco Industries,International,India,Agriculture,Enterprise,EDMAXG,Mixed Bed,250.0,4625000.0,6706250.0,59.183673469387756,2024-08
T078,L045,ACC01,P002,2024-03-15,5000,560.0,2800000.0,Outbound,2024-07-23,Converted,99,Reliance Industries,Domestic,India,Petrochemical,Enterprise,SuperExC18Na,Cation,250.0,1250000.0,1550000.0,55.35714285714286,2024-03
T079,L046,ACC29,P010,2024-09-20,17500,526.5,9213750.0,Website,2024-06-25,Converted,68,ONGC,Domestic,India,Mining,Mid-Market,SuperMENitrex,Media,290.0,5075000.0,4138750.0,44.91927825261159,2024-09
T080,L001,ACC29,P007,2024-12-26,2500,747.0,1867500.0,LinkedIn,2024-01-10,Converted,85,ONGC,Domestic,India,Mining,Mid-Market,SuperExMB50,Mixed Bed,350.0,875000.0,992500.0,53.14591700133868,2024-12
T081,L002,ACC20,P004,2024-09-02,21000,573.5,12043500.0,Indiamart,2024-01-12,Converted,90,Sinopec Group,International,China,Oil & Gas,Enterprise,EDMAXM,Mixed Bed,270.0,5670000.0,6373500.0,52.92066259808196,2024-09
T082,L004,ACC03,P006,2024-06-09,21000,630.0,13230000.0,Referral,2024-01-20,Converted,75,Tata Power,Domestic,India,Energy,Mid-Market,SuperExA14OH,Anion,350.0,7350000.0,5880000.0,44.44444444444444,2024-06
T083,L006,ACC37,P009,2024-08-15,21500,494.0,10621000.0,Website,2024-02-05,Converted,88,Aurobindo Pharma,Domestic,India,Pharma,Mid-Market,SuperMEIRM,Media,280.0,6020000.0,4601000.0,43.31983805668016,2024-08
T084,L007,ACC09,P005,2024-12-24,3500,870.0,3045000.0,Indiamart,2024-02-10,Converted,92,Vedanta Ltd,Domestic,India,Mining,Mid-Market,SuperExA14Cl,Anion,500.0,1750000.0,1295000.0,42.5287356321839,2024-12
T085,L009,ACC35,P001,2024-04-25,7000,465.0,3255000.0,Referral,2024-02-18,Converted,80,Lanxess India,Domestic,India,Manufacturing,Enterprise,SuperExC18H,Cation,200.0,1400000.0,1855000.0,56.98924731182796,2024-04
T086,L011,ACC33,P007,2024-02-16,15500,747.0,11578500.0,Outbound,2024-03-01,Converted,82,Atul Ltd,Domestic,India,Energy,Enterprise,SuperExMB50,Mixed Bed,350.0,5425000.0,6153500.0,53.14591700133868,2024-02
T087,L012,ACC18,P004,2024-10-14,12000,573.5,6882000.0,LinkedIn,2024-03-05,Converted,89,Roche Holding,International,Switzerland,Pharma,Enterprise,EDMAXM,Mixed Bed,270.0,3240000.0,3642000.0,52.92066259808196,2024-10
T088,L014,ACC38,P006,2024-12-07,21500,630.0,13545000.0,Indiamart,2024-03-15,Converted,77,Biocon,International,Switzerland,Pharma,Enterprise,SuperExA14OH,Anion,350.0,7525000.0,6020000.0,44.44444444444444,2024-12
T089,L015,ACC47,P001,2024-04-02,18000,465.0,8370000.0,Referral,2024-03-20,Converted,95,Britannia Industries,Domestic,USA,Infrastructure,Enterprise,SuperExC18H,Cation,200.0,3600000.0,4770000.0,56.98924731182796,2024-04
T090,L017,ACC32,P005,2024-03-23,8500,870.0,7395000.0,LinkedIn,2024-04-02,Converted,81,Aarti Industries,International,USA,Chemicals,Enterprise,SuperExA14Cl,Anion,500.0,4250000.0,3145000.0,42.5287356321839,2024-03
T091,L018,ACC47,P008,2024-01-06,24500,850.0,20825000.0,Website,2024-04-05,Converted,84,Britannia Industries,Domestic,USA,Infrastructure,Enterprise,SuperExMB60,Mixed Bed,400.0,9800000.0,11025000.0,52.94117647058824,2024-01
T092,L020,ACC48,P010,2024-01-24,24500,526.5,12899250.0,Referral,2024-04-12,Converted,87,Diageo India,International,India,Pharma,Mid-Market,SuperMENitrex,Media,290.0,7105000.0,5794250.0,44.91927825261159,2024-01
T093,L021,ACC12,P001,2024-05-14,6500,465.0,3022500.0,LinkedIn,2024-02-27,Converted,16,Dow Chemical,International,USA,Chemicals,Enterprise,SuperExC18H,Cation,200.0,1300000.0,1722500.0,56.98924731182796,2024-05
T094,L023,ACC07,P002,2024-07-28,24500,560.0,13720000.0,Website,2024-11-08,Converted,74,Adani Group,Domestic,India,Infrastructure,Enterprise,SuperExC18Na,Cation,250.0,6125000.0,7595000.0,55.35714285714286,2024-07
T095,L025,ACC36,P006,2024-05-17,19500,630.0,12285000.0,Outbound,2024-09-20,Converted,70,Lupin Limited,International,USA,Oil & Gas,Enterprise,SuperExA14OH,Anion,350.0,6825000.0,5460000.0,44.44444444444444,2024-05
T096,L026,ACC11,P003,2024-02-25,4500,612.5,2756250.0,Website,2024-06-23,Converted,40,Dr. Reddy's,Domestic,India,Pharma,Enterprise,EDMAXG,Mixed Bed,250.0,1125000.0,1631250.0,59.183673469387756,2024-02
T097,L028,ACC46,P005,2024-07-12,2500,870.0,2175000.0,LinkedIn,2024-11-23,Converted,40,ITC Limited,International,India,Oil & Gas,Enterprise,SuperExA14Cl,Anion,500.0,1250000.0,925000.0,42.5287356321839,2024-07
T098,L030,ACC21,P008,2024-06-03,19500,850.0,16575000.0,Website,2024-10-28,Converted,36,BHEL (Bharat Heavy Electricals Limited),Domestic,India,Petrochemical,Enterprise,SuperExMB60,Mixed Bed,400.0,7800000.0,8775000.0,52.94117647058824,2024-06
T099,L031,ACC43,P007,2024-01-08,4000,747.0,2988000.0,Outbound,2024-07-27,Converted,81,Jindal Stainless,Domestic,USA,Energy,Mid-Market,SuperExMB50,Mixed Bed,350.0,1400000.0,1588000.0,53.14591700133868,2024-01
T100,L033,ACC36,P002,2024-09-09,24500,560.0,13720000.0,Website,2024-03-03,Converted,14,Lupin Limited,International,USA,Oil & Gas,Enterprise,SuperExC18Na,Cation,250.0,6125000.0,7595000.0,55.35714285714286,2024-09
T101,L034,ACC22,P006,2024-06-29,8000,630.0,5040000.0,Indiamart,2024-09-26,Converted,83,Power Grid Corporation of India,International,USA,Pharma,Enterprise,SuperExA14OH,Anion,350.0,2800000.0,2240000.0,44.44444444444444,2024-06
T102,L036,ACC21,P001,2024-04-13,20500,465.0,9532500.0,Outbound,2024-08-24,Converted,67,BHEL (Bharat Heavy Electricals Limited),Domestic,India,Petrochemical,Enterprise,SuperExC18H,Cation,200.0,4100000.0,5432500.0,56.98924731182796,2024-04
T103,L037,ACC02,P005,2024-09-20,24500,870.0,21315000.0,LinkedIn,2024-07-07,Converted,66,Pfizer Inc.,International,USA,Pharma,Enterprise,SuperExA14Cl,Anion,500.0,12250000.0,9065000.0,42.5287356321839,2024-09
T104,L039,ACC37,P008,2024-10-17,16500,850.0,14025000.0,Indiamart,2024-12-09,Converted,25,Aurobindo Pharma,Domestic,India,Pharma,Mid-Market,SuperExMB60,Mixed Bed,400.0,6600000.0,7425000.0,52.94117647058824,2024-10
T105,L040,ACC17,P010,2024-05-29,18500,526.5,9740250.0,Referral,2024-06-29,Converted,94,Cipla Ltd,Domestic,India,Pharma,Mid-Market,SuperMENitrex,Media,290.0,5365000.0,4375250.0,44.91927825261159,2024-05
T106,L041,ACC22,P001,2024-08-11,23500,465.0,10927500.0,LinkedIn,2024-01-04,Converted,97,Power Grid Corporation of India,International,USA,Pharma,Enterprise,SuperExC18H,Cation,200.0,4700000.0,6227500.0,56.98924731182796,2024-08
T107,L043,ACC44,P002,2024-12-21,6500,560.0,3640000.0,Website,2024-03-04,Converted,97,Hindalco Industries,International,India,Agriculture,Enterprise,SuperExC18Na,Cation,250.0,1625000.0,2015000.0,55.35714285714286,2024-12
T108,L045,ACC01,P006,2024-09-05,7000,630.0,4410000.0,Outbound,2024-07-23,Converted,99,Reliance Industries,Domestic,India,Petrochemical,Enterprise,SuperExA14OH,Anion,350.0,2450000.0,1960000.0,44.44444444444444,2024-09
T109,L046,ACC29,P003,2024-11-05,20500,612.5,12556250.0,Website,2024-06-25,Converted,68,ONGC,Domestic,India,Mining,Mid-Market,EDMAXG,Mixed Bed,250.0,5125000.0,7431250.0,59.183673469387756,2024-11
T110,L001,ACC29,P005,2024-03-28,8000,870.0,6960000.0,LinkedIn,2024-01-10,Converted,85,ONGC,Domestic,India,Mining,Mid-Market,SuperExA14Cl,Anion,500.0,4000000.0,2960000.0,42.5287356321839,2024-03
T111,L002,ACC20,P008,2024-12-23,22500,850.0,19125000.0,Indiamart,2024-01-12,Converted,90,Sinopec Group,International,China,Oil & Gas,Enterprise,SuperExMB60,Mixed Bed,400.0,9000000.0,10125000.0,52.94117647058824,2024-12
T112,L004,ACC03,P007,2024-12-04,7500,747.0,5602500.0,Referral,2024-01-20,Converted,75,Tata Power,Domestic,India,Energy,Mid-Market,SuperExMB50,Mixed Bed,350.0,2625000.0,2977500.0,53.14591700133868,2024-12
